GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UDDIv2 and v3 WS Stubs and Schema Bindings Generated from WSDL,org.apache.juddi.api_v3,GetPublisherDetail,18,3,2,0,6,1,4,1,3,1
UDDIv2 and v3 WS Stubs and Schema Bindings Generated from WSDL,org.apache.juddi.api_v3,AdminDeleteSubscriptionResponse,3,0,0,0,1,0,1,0,1,0
UDDIv2 and v3 WS Stubs and Schema Bindings Generated from WSDL,org.apache.juddi.api_v3,SyncSubscription,21,0,2,0,7,0,5,0,4,0
UDDIv2 and v3 WS Stubs and Schema Bindings Generated from WSDL,org.apache.juddi.api_v3,GetEntityHistoryMessageRequest,31,0,0,0,13,0,9,0,9,0
UDDIv2 and v3 WS Stubs and Schema Bindings Generated from WSDL,org.apache.juddi.api_v3,SyncSubscriptionDetail,14,0,2,0,4,0,3,0,2,0
UDDIv2 and v3 WS Stubs and Schema Bindings Generated from WSDL,org.apache.juddi.api_v3,GetAllClientSubscriptionInfo,10,0,0,0,4,0,3,0,3,0
UDDIv2 and v3 WS Stubs and Schema Bindings Generated from WSDL,org.apache.juddi.api_v3,GetAllClerksResponse,10,0,0,0,4,0,3,0,3,0
UDDIv2 and v3 WS Stubs and Schema Bindings Generated from WSDL,org.apache.juddi.api_v3,SubscriptionWrapper,21,0,2,0,7,0,5,0,4,0
UDDIv2 and v3 WS Stubs and Schema Bindings Generated from WSDL,org.apache.juddi.api_v3,AdminSaveBusiness,21,0,2,0,7,0,5,0,4,0
UDDIv2 and v3 WS Stubs and Schema Bindings Generated from WSDL,org.apache.juddi.api_v3,GetReplicationNodesResponse,10,0,0,0,4,0,3,0,3,0
UDDIv2 and v3 WS Stubs and Schema Bindings Generated from WSDL,org.apache.juddi.api_v3,ClientSubscriptionInfo,38,0,0,0,16,0,11,0,11,0
